runid,topic,compatibility
webisTSame1,1,0.1230503997660966
webisTSame1,3,0.02192855372689706
webisTSame1,5,0.0
webisTSame1,6,0.18603765515479823
webisTSame1,7,1.0542531649422594e-07
webisTSame1,8,0.21534051046429792
webisTSame1,11,0.0
webisTSame1,12,0.04130320770526842
webisTSame1,13,0.03199451776230805
webisTSame1,16,0.10878809824957722
webisTSame1,17,0.0011029497206928468
webisTSame1,18,0.05834080231947685
webisTSame1,20,0.0
webisTSame1,22,8.109842125093834e-20
webisTSame1,28,0.015525682349369928
webisTSame1,29,0.0031180777061450126
webisTSame1,32,0.1460753084845749
webisTSame1,33,0.19342850863025302
webisTSame1,37,3.542106490490544e-11
webisTSame1,38,0.0019025404723673242
webisTSame1,40,0.007849382791196145
webisTSame1,41,0.002795077305135928
webisTSame1,42,0.10953276620481071
webisTSame1,44,0.13286716504696752
webisTSame1,45,1.3354918347483285e-14
webisTSame1,47,0.0001682283723529817
webisTSame1,49,6.237117681154857e-17
webisTSame1,50,1.9077667354596103e-16
webisTSame1,51,0.025889369127471338
webisTSame1,average,0.04920823816623479
