runid,topic,compatibility
webisTSame1,1,0.07672159728830678
webisTSame1,3,0.06377862250095954
webisTSame1,5,0.006275073213487121
webisTSame1,6,0.38208286976376465
webisTSame1,7,0.009899316250712142
webisTSame1,8,0.0818947735221808
webisTSame1,11,0.22811567276203004
webisTSame1,12,0.06197779696111686
webisTSame1,13,0.02909009445030092
webisTSame1,16,0.019750426128301128
webisTSame1,17,0.008686902229071362
webisTSame1,18,0.001130444220037414
webisTSame1,19,0.19905087143790143
webisTSame1,20,0.024317067712498315
webisTSame1,22,4.525008785117049e-06
webisTSame1,27,1.8920609024223094e-05
webisTSame1,28,0.10456867254935204
webisTSame1,29,0.1875265548730734
webisTSame1,33,0.06812980464272893
webisTSame1,34,0.057964978739321944
webisTSame1,36,0.23509524891035266
webisTSame1,37,0.2381674138988182
webisTSame1,38,0.013825483503657194
webisTSame1,39,0.17701845649308098
webisTSame1,40,0.021195103940928148
webisTSame1,41,0.09720248476516462
webisTSame1,42,0.22078995301406246
webisTSame1,44,0.0017800021257839567
webisTSame1,45,0.014084338710372082
webisTSame1,47,0.0003439225941070777
webisTSame1,49,0.02869798697269922
webisTSame1,50,0.05173664764808664
webisTSame1,51,0.08878340981314377
webisTSame1,average,0.08483955870464277
