runid,topic,compatibility
IELAB01_ori_q,1,0.2541024679408049
IELAB01_ori_q,3,0.3159848580269224
IELAB01_ori_q,5,0.00705089316970319
IELAB01_ori_q,6,0.17870598217179423
IELAB01_ori_q,7,0.4028113288049856
IELAB01_ori_q,8,0.0025543314896614012
IELAB01_ori_q,11,0.0003994939669599816
IELAB01_ori_q,12,0.4433152742756381
IELAB01_ori_q,13,0.29680391903879977
IELAB01_ori_q,16,0.7413733103233139
IELAB01_ori_q,17,0.35974428996045343
IELAB01_ori_q,18,0.14954775231810913
IELAB01_ori_q,19,0.010858672620505406
IELAB01_ori_q,20,0.13968604870905416
IELAB01_ori_q,22,0.0
IELAB01_ori_q,27,0.3562021897802942
IELAB01_ori_q,28,0.13673756120940295
IELAB01_ori_q,29,0.16007358617074233
IELAB01_ori_q,32,0.1779232783233528
IELAB01_ori_q,33,0.8885119442780113
IELAB01_ori_q,36,0.02422430674982157
IELAB01_ori_q,37,0.31606667833497176
IELAB01_ori_q,38,0.1238409521800955
IELAB01_ori_q,39,0.10388917132351569
IELAB01_ori_q,40,0.6167396367962097
IELAB01_ori_q,41,0.4844757062944309
IELAB01_ori_q,42,0.5723932954591182
IELAB01_ori_q,44,0.17371872340431627
IELAB01_ori_q,45,0.1565268659944495
IELAB01_ori_q,47,0.35188023142782526
IELAB01_ori_q,49,0.01703264998826293
IELAB01_ori_q,50,0.10094935296615158
IELAB01_ori_q,51,0.5584331195064989
IELAB01_ori_q,average,0.26128963251527804
