runid,topic,compatibility
IELAB01_ori_q,1,0.003603092527274973
IELAB01_ori_q,3,0.2617938112262002
IELAB01_ori_q,5,0.5573997603853674
IELAB01_ori_q,6,0.22681207739667641
IELAB01_ori_q,7,0.0011733648482660777
IELAB01_ori_q,8,0.09656570931825333
IELAB01_ori_q,11,0.3397558465350677
IELAB01_ori_q,12,0.20884105284723506
IELAB01_ori_q,13,0.019173050083966907
IELAB01_ori_q,16,0.0529736854791217
IELAB01_ori_q,17,0.021321703718262527
IELAB01_ori_q,18,0.044646851166737465
IELAB01_ori_q,19,0.6340412384767703
IELAB01_ori_q,20,0.3909333738158147
IELAB01_ori_q,22,0.2095502432480914
IELAB01_ori_q,27,0.05671158875853449
IELAB01_ori_q,28,0.6169106729714738
IELAB01_ori_q,29,0.6086207155666123
IELAB01_ori_q,32,0.24678172698223863
IELAB01_ori_q,33,0.0011147657273686401
IELAB01_ori_q,34,0.3985125518280913
IELAB01_ori_q,36,0.7410738429357617
IELAB01_ori_q,37,0.26131897004342813
IELAB01_ori_q,38,0.16755484720611494
IELAB01_ori_q,39,0.5884090562506716
IELAB01_ori_q,40,0.11062885291056093
IELAB01_ori_q,41,0.19365574877423594
IELAB01_ori_q,42,0.10523092274072063
IELAB01_ori_q,44,0.1241167669872593
IELAB01_ori_q,45,0.45465858780968316
IELAB01_ori_q,47,0.009711407503440309
IELAB01_ori_q,49,0.5721791407660192
IELAB01_ori_q,50,0.3447780957401303
IELAB01_ori_q,51,0.01312149952264572
IELAB01_ori_q,average,0.2554021947675911
