runid,topic,compatibility
IELAB02_ori_d,1,0.4415249316755401
IELAB02_ori_d,3,2.0510259099057906e-17
IELAB02_ori_d,5,0.09563141616574379
IELAB02_ori_d,6,0.2098470120524335
IELAB02_ori_d,7,0.01477949448028971
IELAB02_ori_d,8,0.004082690080956391
IELAB02_ori_d,11,0.02978671721193723
IELAB02_ori_d,12,0.17296799005744665
IELAB02_ori_d,13,0.052761555224921486
IELAB02_ori_d,16,0.41094543575376064
IELAB02_ori_d,17,0.18117046540381693
IELAB02_ori_d,18,0.08954425582234736
IELAB02_ori_d,19,0.001265908380351003
IELAB02_ori_d,20,0.019502989726765806
IELAB02_ori_d,22,3.0352775385941224e-08
IELAB02_ori_d,27,0.05011142028861204
IELAB02_ori_d,28,0.1788888069052777
IELAB02_ori_d,29,0.03598074650593944
IELAB02_ori_d,32,0.20275512120911143
IELAB02_ori_d,33,0.8897175431400052
IELAB02_ori_d,36,0.0022864864835110015
IELAB02_ori_d,37,0.0
IELAB02_ori_d,38,0.30987412871435
IELAB02_ori_d,39,0.015347858355614469
IELAB02_ori_d,40,0.2934282243149937
IELAB02_ori_d,41,0.04720564391255931
IELAB02_ori_d,42,0.16594818654908067
IELAB02_ori_d,44,6.473220151805017e-22
IELAB02_ori_d,45,0.0
IELAB02_ori_d,47,0.1551241657456371
IELAB02_ori_d,49,0.031440034565628126
IELAB02_ori_d,50,2.3043467300287546e-12
IELAB02_ori_d,51,0.11253670998887137
IELAB02_ori_d,average,0.1277107869415328
