runid,topic,compatibility
IELAB02_ori_d,1,0.010353960935923457
IELAB02_ori_d,3,0.09514495990880864
IELAB02_ori_d,5,0.026574773111803316
IELAB02_ori_d,6,0.23503469478218614
IELAB02_ori_d,7,0.01862803124328586
IELAB02_ori_d,8,0.23021770346838216
IELAB02_ori_d,11,0.4187313515596491
IELAB02_ori_d,12,0.5883066426846141
IELAB02_ori_d,13,0.0379882387831747
IELAB02_ori_d,16,0.04173169358764154
IELAB02_ori_d,17,0.05643696581893274
IELAB02_ori_d,18,0.0
IELAB02_ori_d,19,0.2912788246465761
IELAB02_ori_d,20,0.13947098914445824
IELAB02_ori_d,22,0.13512755565289605
IELAB02_ori_d,27,0.026369583098235703
IELAB02_ori_d,28,0.6911033225234421
IELAB02_ori_d,29,0.5546979917675093
IELAB02_ori_d,32,0.11578172269177404
IELAB02_ori_d,33,0.0011083027131665762
IELAB02_ori_d,34,0.5435084526048187
IELAB02_ori_d,36,0.7507880283341214
IELAB02_ori_d,37,0.0929781733098903
IELAB02_ori_d,38,0.011006444486633805
IELAB02_ori_d,39,0.49305937641584485
IELAB02_ori_d,40,0.08702425927896554
IELAB02_ori_d,41,0.018953658890235925
IELAB02_ori_d,42,0.1278203103504241
IELAB02_ori_d,44,0.0
IELAB02_ori_d,45,0.008771493290150392
IELAB02_ori_d,47,0.0005673535334828464
IELAB02_ori_d,49,0.55511936749343
IELAB02_ori_d,50,0.4324966958121559
IELAB02_ori_d,51,0.014662326081193696
IELAB02_ori_d,average,0.20149538964717084
