runid,topic,compatibility
IELAB06_xChv_d,1,0.0014173684602426873
IELAB06_xChv_d,3,0.1482111979643332
IELAB06_xChv_d,5,0.5561146134399292
IELAB06_xChv_d,6,0.24765487016391455
IELAB06_xChv_d,7,4.4646995367841135e-08
IELAB06_xChv_d,8,0.09587300365747124
IELAB06_xChv_d,11,0.5165378773750111
IELAB06_xChv_d,12,0.6195973629951365
IELAB06_xChv_d,13,0.00023619932926439668
IELAB06_xChv_d,16,0.021913762710207983
IELAB06_xChv_d,17,0.07302159876257175
IELAB06_xChv_d,18,0.0005845541110327163
IELAB06_xChv_d,19,0.09846498243143484
IELAB06_xChv_d,20,0.2774458713284486
IELAB06_xChv_d,22,0.06789964788218188
IELAB06_xChv_d,27,0.11534479752389683
IELAB06_xChv_d,28,0.651764621215523
IELAB06_xChv_d,29,0.5420440279962135
IELAB06_xChv_d,32,0.2603753930390694
IELAB06_xChv_d,33,0.0011125813454277642
IELAB06_xChv_d,34,0.37702600041770395
IELAB06_xChv_d,36,0.7865856829659559
IELAB06_xChv_d,37,0.3359572698155639
IELAB06_xChv_d,38,0.0058630771073944895
IELAB06_xChv_d,39,0.14463128010063941
IELAB06_xChv_d,40,0.13000109641840604
IELAB06_xChv_d,41,0.4789557094918662
IELAB06_xChv_d,42,0.23337674896652275
IELAB06_xChv_d,44,0.08671798463823586
IELAB06_xChv_d,45,0.3183309395154473
IELAB06_xChv_d,47,2.3671278187445356e-13
IELAB06_xChv_d,49,0.6260132477401656
IELAB06_xChv_d,50,0.5189036217840216
IELAB06_xChv_d,51,0.0
IELAB06_xChv_d,average,0.24523461868648433
