runid,topic,compatibility
IELAB07_xWiki_q,1,0.008094617474880907
IELAB07_xWiki_q,3,0.2617938112262002
IELAB07_xWiki_q,5,0.5573997603853674
IELAB07_xWiki_q,6,0.22681207739667641
IELAB07_xWiki_q,7,0.0011733648482660777
IELAB07_xWiki_q,8,0.09656570931825333
IELAB07_xWiki_q,11,0.46159977739023794
IELAB07_xWiki_q,12,0.20884105284723506
IELAB07_xWiki_q,13,0.01807467883864335
IELAB07_xWiki_q,16,0.0529736854791217
IELAB07_xWiki_q,17,0.018472483315175176
IELAB07_xWiki_q,18,0.044646851166737465
IELAB07_xWiki_q,19,0.6340412384767703
IELAB07_xWiki_q,20,0.3909333738158147
IELAB07_xWiki_q,22,0.2095502432480914
IELAB07_xWiki_q,27,0.05671158875853449
IELAB07_xWiki_q,28,0.7021469099550582
IELAB07_xWiki_q,29,0.6086207155666123
IELAB07_xWiki_q,32,0.24678172698223863
IELAB07_xWiki_q,33,0.0011147657273686401
IELAB07_xWiki_q,34,0.3985125518280913
IELAB07_xWiki_q,36,0.7410738429357617
IELAB07_xWiki_q,37,0.26131897004342813
IELAB07_xWiki_q,38,0.16628318779265777
IELAB07_xWiki_q,39,0.5865538220571465
IELAB07_xWiki_q,40,0.06765348068484633
IELAB07_xWiki_q,41,0.19943099405731163
IELAB07_xWiki_q,42,0.0979018121167321
IELAB07_xWiki_q,44,0.1241167669872593
IELAB07_xWiki_q,45,0.45465858780968316
IELAB07_xWiki_q,47,0.09543096534199111
IELAB07_xWiki_q,49,0.5721791407660192
IELAB07_xWiki_q,50,0.3447780957401303
IELAB07_xWiki_q,51,0.01312149952264572
IELAB07_xWiki_q,average,0.2626282985264996
