runid,topic,compatibility
IELAB08_xWiki_d,1,0.09567245873970423
IELAB08_xWiki_d,3,0.3377370737676928
IELAB08_xWiki_d,5,0.02682586305982441
IELAB08_xWiki_d,6,0.21445678860868514
IELAB08_xWiki_d,7,0.41100891906746123
IELAB08_xWiki_d,8,0.002729226743636323
IELAB08_xWiki_d,11,0.05152105446990436
IELAB08_xWiki_d,12,0.3027024267882264
IELAB08_xWiki_d,13,0.1379476692109132
IELAB08_xWiki_d,16,0.7269213391144133
IELAB08_xWiki_d,17,0.15258820672835946
IELAB08_xWiki_d,18,0.1078308499087239
IELAB08_xWiki_d,19,1.9387008076300885e-05
IELAB08_xWiki_d,20,1.0051959731478454e-14
IELAB08_xWiki_d,22,0.0
IELAB08_xWiki_d,27,0.0459802769835173
IELAB08_xWiki_d,28,0.1782316613160828
IELAB08_xWiki_d,29,0.03598074650593944
IELAB08_xWiki_d,32,0.26788697366413483
IELAB08_xWiki_d,33,0.8016918873680785
IELAB08_xWiki_d,36,8.475231792210663e-13
IELAB08_xWiki_d,37,0.24888549058053078
IELAB08_xWiki_d,38,0.1691602503157219
IELAB08_xWiki_d,39,0.09991843958751825
IELAB08_xWiki_d,40,0.6332918853929463
IELAB08_xWiki_d,41,0.0006244870276904058
IELAB08_xWiki_d,42,0.004846738367234455
IELAB08_xWiki_d,44,0.14801610424250383
IELAB08_xWiki_d,45,0.2529471720004143
IELAB08_xWiki_d,47,0.05981175296868203
IELAB08_xWiki_d,49,0.03662943819265469
IELAB08_xWiki_d,50,1.0327666187631159e-07
IELAB08_xWiki_d,51,1.4214735852091297e-08
IELAB08_xWiki_d,average,0.16823832379459172
