runid,topic,compatibility
IELAB10_xCW_d,1,0.004124465330884899
IELAB10_xCW_d,3,0.1482111979643332
IELAB10_xCW_d,5,0.5561146134399292
IELAB10_xCW_d,6,0.24765487016391455
IELAB10_xCW_d,7,4.4646995367841135e-08
IELAB10_xCW_d,8,0.09587300365747124
IELAB10_xCW_d,11,0.48791401417939917
IELAB10_xCW_d,12,0.6195973629951365
IELAB10_xCW_d,13,0.00046480685353062883
IELAB10_xCW_d,16,0.021913762710207983
IELAB10_xCW_d,17,0.05580294460052409
IELAB10_xCW_d,18,0.0005845541110327163
IELAB10_xCW_d,19,0.09846498243143484
IELAB10_xCW_d,20,0.2774458713284486
IELAB10_xCW_d,22,0.06789964788218188
IELAB10_xCW_d,27,0.11534479752389683
IELAB10_xCW_d,28,0.651764621215523
IELAB10_xCW_d,29,0.5420440279962135
IELAB10_xCW_d,32,0.2603753930390694
IELAB10_xCW_d,33,0.0011125813454277642
IELAB10_xCW_d,34,0.37702600041770395
IELAB10_xCW_d,36,0.7865856829659559
IELAB10_xCW_d,37,0.3359572698155639
IELAB10_xCW_d,38,0.004761709461818345
IELAB10_xCW_d,39,0.14367636993948024
IELAB10_xCW_d,40,0.13000109641840604
IELAB10_xCW_d,41,0.4789557094918662
IELAB10_xCW_d,42,0.23337674896652275
IELAB10_xCW_d,44,0.08671798463823586
IELAB10_xCW_d,45,0.3183309395154473
IELAB10_xCW_d,47,4.736074417611699e-18
IELAB10_xCW_d,49,0.6260132477401656
IELAB10_xCW_d,50,0.5189036217840216
IELAB10_xCW_d,51,0.0
IELAB10_xCW_d,average,0.243912174840316
