runid,topic,compatibility
UWatMDSBM25_HC2,1,0.6360095774114644
UWatMDSBM25_HC2,3,0.19930927846685478
UWatMDSBM25_HC2,5,0.0026549270509984833
UWatMDSBM25_HC2,6,0.47145741081068016
UWatMDSBM25_HC2,7,0.20059889207678525
UWatMDSBM25_HC2,8,0.09631005609627392
UWatMDSBM25_HC2,11,5.097726736281767e-11
UWatMDSBM25_HC2,12,0.05530558311792775
UWatMDSBM25_HC2,13,0.536746797953556
UWatMDSBM25_HC2,16,0.6152066505641788
UWatMDSBM25_HC2,17,0.3208429577809888
UWatMDSBM25_HC2,18,0.24754577580274575
UWatMDSBM25_HC2,19,9.16147095308169e-06
UWatMDSBM25_HC2,20,6.381396060873542e-09
UWatMDSBM25_HC2,22,0.06826195472121696
UWatMDSBM25_HC2,27,0.07517144039828338
UWatMDSBM25_HC2,28,0.08147701342488582
UWatMDSBM25_HC2,29,0.03200030273645102
UWatMDSBM25_HC2,32,0.13676221317807521
UWatMDSBM25_HC2,33,0.588763252465828
UWatMDSBM25_HC2,36,0.010894435125268994
UWatMDSBM25_HC2,37,0.28067602433865185
UWatMDSBM25_HC2,38,0.34241620826713054
UWatMDSBM25_HC2,39,0.036403264071297556
UWatMDSBM25_HC2,40,0.7753105501465398
UWatMDSBM25_HC2,41,1.1275922768739857e-23
UWatMDSBM25_HC2,42,0.6702518388680471
UWatMDSBM25_HC2,44,0.14645202890615724
UWatMDSBM25_HC2,45,0.06679366456448495
UWatMDSBM25_HC2,47,0.4875502179513581
UWatMDSBM25_HC2,49,0.014368359657122905
UWatMDSBM25_HC2,50,0.18894671628390614
UWatMDSBM25_HC2,51,0.3299353033918547
UWatMDSBM25_HC2,average,0.23377066253128304
