runid,topic,compatibility
UWatMDS_BM25_ZS,1,0.020746287194930272
UWatMDS_BM25_ZS,3,0.2563415556425008
UWatMDS_BM25_ZS,5,0.09953999139687733
UWatMDS_BM25_ZS,6,0.29894587448020055
UWatMDS_BM25_ZS,7,0.32694009415636577
UWatMDS_BM25_ZS,8,0.3186608517792643
UWatMDS_BM25_ZS,11,0.02950527541008216
UWatMDS_BM25_ZS,12,0.8330681122458032
UWatMDS_BM25_ZS,13,0.0009366651173097176
UWatMDS_BM25_ZS,16,0.12724091742985222
UWatMDS_BM25_ZS,17,0.06068289733993247
UWatMDS_BM25_ZS,18,0.0004317974002906216
UWatMDS_BM25_ZS,19,0.6033136008644138
UWatMDS_BM25_ZS,20,0.15423639242312154
UWatMDS_BM25_ZS,22,0.1761919394639642
UWatMDS_BM25_ZS,27,0.09969102663141194
UWatMDS_BM25_ZS,28,0.6451067877366755
UWatMDS_BM25_ZS,29,0.6514265562061422
UWatMDS_BM25_ZS,32,0.37290638498630296
UWatMDS_BM25_ZS,33,0.05361713337658993
UWatMDS_BM25_ZS,34,0.34544306649654305
UWatMDS_BM25_ZS,36,0.694487065134125
UWatMDS_BM25_ZS,37,0.26638053172974835
UWatMDS_BM25_ZS,38,0.2250477541887063
UWatMDS_BM25_ZS,39,0.1619840621630832
UWatMDS_BM25_ZS,40,0.12091036552664929
UWatMDS_BM25_ZS,41,0.062147949017468535
UWatMDS_BM25_ZS,42,0.21529191696408445
UWatMDS_BM25_ZS,44,0.2804409386642028
UWatMDS_BM25_ZS,45,0.3598444164306346
UWatMDS_BM25_ZS,47,0.09563684255129219
UWatMDS_BM25_ZS,49,0.5369233727919098
UWatMDS_BM25_ZS,50,0.38625950671919035
UWatMDS_BM25_ZS,51,0.019228334250891134
UWatMDS_BM25_ZS,average,0.2617516548208988
