runid,topic,compatibility
UWatMDS_BMF_C90,1,0.5012410678375685
UWatMDS_BMF_C90,3,0.0
UWatMDS_BMF_C90,5,0.008485578868063287
UWatMDS_BMF_C90,6,0.19618459433116822
UWatMDS_BMF_C90,7,0.24374098678873926
UWatMDS_BMF_C90,8,0.08666055053655444
UWatMDS_BMF_C90,11,0.06354627349788136
UWatMDS_BMF_C90,12,0.13918010781877438
UWatMDS_BMF_C90,13,0.7675172369073746
UWatMDS_BMF_C90,16,0.396351877081251
UWatMDS_BMF_C90,17,0.0617420373008834
UWatMDS_BMF_C90,18,0.4579043630982704
UWatMDS_BMF_C90,19,0.025337649409595202
UWatMDS_BMF_C90,20,0.0
UWatMDS_BMF_C90,22,0.039928563603817524
UWatMDS_BMF_C90,27,4.087185969737032e-05
UWatMDS_BMF_C90,28,0.0870307014114429
UWatMDS_BMF_C90,29,0.00706959387406336
UWatMDS_BMF_C90,32,0.0737711675856746
UWatMDS_BMF_C90,33,0.3366234744402784
UWatMDS_BMF_C90,36,0.0029843629764289815
UWatMDS_BMF_C90,37,0.14433842840238545
UWatMDS_BMF_C90,38,0.25691500329107475
UWatMDS_BMF_C90,39,0.0716341796914616
UWatMDS_BMF_C90,40,0.691489189830693
UWatMDS_BMF_C90,41,0.0009692516793808014
UWatMDS_BMF_C90,42,0.5418123944390292
UWatMDS_BMF_C90,44,0.1292799175685247
UWatMDS_BMF_C90,45,0.0
UWatMDS_BMF_C90,47,0.039335671771287724
UWatMDS_BMF_C90,49,0.03493215701440529
UWatMDS_BMF_C90,50,0.0
UWatMDS_BMF_C90,51,0.33461458111102854
UWatMDS_BMF_C90,average,0.1739594495159636
