runid,topic,compatibility
UWatMDS_BMF_S30,1,0.44882023800780724
UWatMDS_BMF_S30,3,0.3625315952561445
UWatMDS_BMF_S30,5,0.009043769678046489
UWatMDS_BMF_S30,6,0.3476267048419789
UWatMDS_BMF_S30,7,0.47662900502503697
UWatMDS_BMF_S30,8,0.0037135562477828123
UWatMDS_BMF_S30,11,0.002037688259035814
UWatMDS_BMF_S30,12,0.3633979635603707
UWatMDS_BMF_S30,13,0.6846658921813215
UWatMDS_BMF_S30,16,0.7297884098101142
UWatMDS_BMF_S30,17,0.290741667678164
UWatMDS_BMF_S30,18,0.3276547902658048
UWatMDS_BMF_S30,19,0.00038253327001848154
UWatMDS_BMF_S30,20,0.0
UWatMDS_BMF_S30,22,0.00021416437027728413
UWatMDS_BMF_S30,27,0.40578134675716715
UWatMDS_BMF_S30,28,0.08367827042092367
UWatMDS_BMF_S30,29,0.009426335037177628
UWatMDS_BMF_S30,32,0.031215141069391498
UWatMDS_BMF_S30,33,0.8252573823523804
UWatMDS_BMF_S30,36,0.0004971281307509304
UWatMDS_BMF_S30,37,0.27020479971314826
UWatMDS_BMF_S30,38,0.08157855546011888
UWatMDS_BMF_S30,39,0.04902608020242502
UWatMDS_BMF_S30,40,0.5819460648756406
UWatMDS_BMF_S30,41,0.08666055053657457
UWatMDS_BMF_S30,42,0.6400907119362419
UWatMDS_BMF_S30,44,0.2171428058043943
UWatMDS_BMF_S30,45,0.00819395472529944
UWatMDS_BMF_S30,47,0.4999814458376363
UWatMDS_BMF_S30,49,0.01862803124328586
UWatMDS_BMF_S30,50,3.2249912227062805e-05
UWatMDS_BMF_S30,51,0.10174405428741048
UWatMDS_BMF_S30,average,0.24116160262891204
