runid,topic,compatibility
UWaterMDS_BM25,1,0.2177026025779054
UWaterMDS_BM25,3,0.3607648803664117
UWaterMDS_BM25,5,0.0031857627813213964
UWaterMDS_BM25,6,0.28372873724147823
UWaterMDS_BM25,7,0.4645330663347405
UWaterMDS_BM25,8,0.006629495130343975
UWaterMDS_BM25,11,1.5255871812426774e-08
UWaterMDS_BM25,12,0.34678031850213564
UWaterMDS_BM25,13,0.612388871728417
UWaterMDS_BM25,16,0.7481237000012532
UWaterMDS_BM25,17,0.5023524644512157
UWaterMDS_BM25,18,0.3282199584461707
UWaterMDS_BM25,19,3.091449944176192e-05
UWaterMDS_BM25,20,6.488677489058319e-05
UWaterMDS_BM25,22,0.16419716616352165
UWaterMDS_BM25,27,0.4057813889809128
UWaterMDS_BM25,28,0.1292857209521986
UWaterMDS_BM25,29,0.025053977124576927
UWaterMDS_BM25,32,0.03160095947117224
UWaterMDS_BM25,33,0.7632418200126568
UWaterMDS_BM25,36,0.0036870492721618043
UWaterMDS_BM25,37,0.15762761490375177
UWaterMDS_BM25,38,0.0611500315530413
UWaterMDS_BM25,39,0.006388819751762971
UWaterMDS_BM25,40,0.3932320737486844
UWaterMDS_BM25,41,0.5085493474374072
UWaterMDS_BM25,42,0.6558854228428058
UWaterMDS_BM25,44,0.25112957362297866
UWaterMDS_BM25,45,0.0406625186473477
UWaterMDS_BM25,47,0.48689399769777547
UWaterMDS_BM25,49,0.014081340399299614
UWaterMDS_BM25,50,0.001372681612324294
UWaterMDS_BM25,51,0.2579376291573113
UWaterMDS_BM25,average,0.24946256992252394
