runid,topic,compatibility
webisMAll1,1,0.25695023121531235
webisMAll1,3,0.0003168347325410628
webisMAll1,5,0.013587243166029555
webisMAll1,6,0.03668744610056503
webisMAll1,7,4.6948372349373086e-06
webisMAll1,8,0.04720762414955445
webisMAll1,11,0.01004489464574933
webisMAll1,12,0.22081095220662594
webisMAll1,13,0.053286183955996914
webisMAll1,16,0.23585992076050324
webisMAll1,17,0.16568878239615548
webisMAll1,18,0.015209640489207869
webisMAll1,19,0.1401657922796078
webisMAll1,20,7.963832465346374e-18
webisMAll1,22,0.0
webisMAll1,27,3.283643700285133e-05
webisMAll1,28,0.14725842259707211
webisMAll1,29,0.09545811097177954
webisMAll1,32,0.11051141523465587
webisMAll1,33,0.19454963933960798
webisMAll1,36,0.012741300730927616
webisMAll1,37,0.006889501489185543
webisMAll1,38,0.001131010692769105
webisMAll1,39,0.0074795499403421065
webisMAll1,40,0.169725594668425
webisMAll1,41,0.0034743901548332312
webisMAll1,42,0.22224073900118207
webisMAll1,44,0.009803322370708197
webisMAll1,45,1.3544753989416196e-14
webisMAll1,47,0.00017019543499206038
webisMAll1,49,0.0010326644570775529
webisMAll1,50,0.020872234839738484
webisMAll1,51,0.14452290489739447
webisMAll1,average,0.07102163861190278
