runid,topic,compatibility
webisMMajority1,1,0.043259908986924965
webisMMajority1,3,0.013699873552680934
webisMMajority1,5,0.12190773332172603
webisMMajority1,6,0.3863143701229972
webisMMajority1,7,0.10971159787134345
webisMMajority1,8,0.1453031775278317
webisMMajority1,11,0.21834790893753794
webisMMajority1,12,0.41242112472801884
webisMMajority1,13,0.002765555781528326
webisMMajority1,16,0.06942506693639817
webisMMajority1,17,0.0028325493839064103
webisMMajority1,18,0.0
webisMMajority1,19,0.39810865150947156
webisMMajority1,20,0.1468533483897014
webisMMajority1,22,4.525008785117106e-06
webisMMajority1,27,1.127079299165628e-06
webisMMajority1,28,0.45428245227422304
webisMMajority1,29,0.1564296845328076
webisMMajority1,32,0.051719475673047306
webisMMajority1,33,0.03789382754607307
webisMMajority1,34,0.16754304893828453
webisMMajority1,36,0.5435426913805331
webisMMajority1,37,0.250702939346072
webisMMajority1,38,0.11256550356665031
webisMMajority1,39,0.045248278843317204
webisMMajority1,40,0.22179540615515214
webisMMajority1,41,0.05508369256152896
webisMMajority1,42,0.15371847182459047
webisMMajority1,44,0.1214458386585073
webisMMajority1,45,0.2876812709699105
webisMMajority1,47,0.0003439225941070777
webisMMajority1,49,0.13433631439044183
webisMMajority1,50,0.4268105227841965
webisMMajority1,51,0.024182946417439757
webisMMajority1,average,0.15636125904691275
