runid,topic,compatibility
webisMSame2,1,0.02735125953179981
webisMSame2,3,0.022120354771971676
webisMSame2,5,0.0465798647533459
webisMSame2,6,0.23643850120386603
webisMSame2,7,0.013700163441557204
webisMSame2,8,0.16636268311897648
webisMSame2,11,0.10642820929906464
webisMSame2,12,0.40159455624246304
webisMSame2,13,0.0021596780025617715
webisMSame2,16,0.07101457126090611
webisMSame2,17,0.00633962074708832
webisMSame2,18,0.0
webisMSame2,19,0.417773689280861
webisMSame2,20,0.01161228882657173
webisMSame2,22,4.525008785117106e-06
webisMSame2,27,1.127079299165628e-06
webisMSame2,28,0.2625834916432014
webisMSame2,29,0.1263788650821276
webisMSame2,32,0.03649333356345923
webisMSame2,33,0.0443487808257882
webisMSame2,34,0.20406752902950745
webisMSame2,36,0.31264049462669724
webisMSame2,37,0.30757173715469405
webisMSame2,38,0.006756458474322427
webisMSame2,39,0.03129515841869494
webisMSame2,40,0.10106108464449165
webisMSame2,41,0.2544172403676465
webisMSame2,42,0.08592965815737577
webisMSame2,44,0.06793761816415643
webisMSame2,45,0.006282036471996308
webisMSame2,47,0.0003439225941070777
webisMSame2,49,0.08222938670100165
webisMSame2,50,0.2719908174596169
webisMSame2,51,0.0024024779197403937
webisMSame2,average,0.10982974070199245
