runid,topic,compatibility
webisMSame3,1,0.12742838884355248
webisMSame3,3,0.0003168347325410628
webisMSame3,5,0.012534423307708835
webisMSame3,6,0.01087186933137284
webisMSame3,7,4.6948372349373086e-06
webisMSame3,8,0.011797158310763488
webisMSame3,11,0.011696386270638019
webisMSame3,12,0.1334819242792698
webisMSame3,13,0.018492092217961054
webisMSame3,16,0.07632887910006084
webisMSame3,17,0.14215206615817547
webisMSame3,18,0.0017420450762532763
webisMSame3,19,0.010942865237700059
webisMSame3,20,7.963832465346374e-18
webisMSame3,22,0.0
webisMSame3,27,3.283643700285133e-05
webisMSame3,28,0.14725842259707211
webisMSame3,29,0.04423694648590221
webisMSame3,32,0.04138051186206098
webisMSame3,33,0.45893404680219774
webisMSame3,36,0.045084590065260985
webisMSame3,37,0.005303892784973816
webisMSame3,38,0.0033093990083785277
webisMSame3,39,0.11343167478626691
webisMSame3,40,0.15675199345425245
webisMSame3,41,0.034669581012863195
webisMSame3,42,0.16519598732388224
webisMSame3,44,0.05531582852000224
webisMSame3,45,1.3544753989416196e-14
webisMSame3,47,0.00017019543499206038
webisMSame3,49,0.03602853614265107
webisMSame3,50,0.01297841465216334
webisMSame3,51,0.002699396401140064
webisMSame3,average,0.05698702671134268
