runid,topic,compatibility
webisTMajority1,1,0.2396195505673549
webisTMajority1,3,0.0003168347325410628
webisTMajority1,5,0.012534423307708835
webisTMajority1,6,0.0361818049289655
webisTMajority1,7,4.6948372349373086e-06
webisTMajority1,8,0.04720762414955445
webisTMajority1,11,0.011696386270638019
webisTMajority1,12,0.17180358624903286
webisTMajority1,13,0.05889982205042974
webisTMajority1,16,0.23585992076050324
webisTMajority1,17,0.16568878239615548
webisTMajority1,18,0.013006290932057895
webisTMajority1,19,0.1673216244938143
webisTMajority1,20,7.963832465346374e-18
webisTMajority1,22,0.0
webisTMajority1,27,3.283643700285133e-05
webisTMajority1,28,0.004355595707541752
webisTMajority1,29,0.09545811097177954
webisTMajority1,32,0.12021215225014556
webisTMajority1,33,0.19377784899936948
webisTMajority1,36,0.017050480646842867
webisTMajority1,37,0.006153697247408413
webisTMajority1,38,0.001131010692769105
webisTMajority1,39,0.008667890604557875
webisTMajority1,40,0.09190998217901011
webisTMajority1,41,0.0034743901548332312
webisTMajority1,42,0.22224073900118207
webisTMajority1,44,0.05601412419872067
webisTMajority1,45,1.3544753989416196e-14
webisTMajority1,47,0.00017019543499206038
webisTMajority1,49,0.0010326644570775529
webisTMajority1,50,0.06786305929763697
webisTMajority1,51,0.14452290489739447
webisTMajority1,average,0.06649118269255361
