runid,topic,compatibility
webisTMajority1,1,0.03763842351914238
webisTMajority1,3,0.06845199614567281
webisTMajority1,5,0.14207194140636792
webisTMajority1,6,0.4379780413627518
webisTMajority1,7,0.14320761463908038
webisTMajority1,8,0.15306211440595013
webisTMajority1,11,0.36681927318137053
webisTMajority1,12,0.4550524660750901
webisTMajority1,13,0.002440734596405548
webisTMajority1,16,0.05753600551828457
webisTMajority1,17,0.0029951749218492837
webisTMajority1,18,0.0
webisTMajority1,19,0.5062753496253787
webisTMajority1,20,0.17386338090531692
webisTMajority1,22,4.525008785117106e-06
webisTMajority1,27,1.127079299165628e-06
webisTMajority1,28,0.38597634104055767
webisTMajority1,29,0.15623181203749595
webisTMajority1,32,0.0627352643542989
webisTMajority1,33,0.03780537322835552
webisTMajority1,34,0.12087559591530399
webisTMajority1,36,0.650491678166082
webisTMajority1,37,0.2587594055177468
webisTMajority1,38,0.1632122647812124
webisTMajority1,39,0.037854418968957707
webisTMajority1,40,0.18691087599221098
webisTMajority1,41,0.19779529004013624
webisTMajority1,42,0.16539215517716385
webisTMajority1,44,0.13005773375882043
webisTMajority1,45,0.2876812709699105
webisTMajority1,47,0.0003439225941070777
webisTMajority1,49,0.17270881472541894
webisTMajority1,50,0.39755995711151076
webisTMajority1,51,0.04764571401481966
webisTMajority1,average,0.17668929578778989
