runid,topic,compatibility
webisTSame1,1,0.16242343071229595
webisTSame1,3,0.06798074341952799
webisTSame1,5,0.010079605012367895
webisTSame1,6,0.1969870513498659
webisTSame1,7,0.01723233814889694
webisTSame1,8,0.16103255721987828
webisTSame1,11,0.11944945919894162
webisTSame1,12,0.14370219682765348
webisTSame1,13,0.018187907104966393
webisTSame1,16,0.01706097879017262
webisTSame1,17,0.004556551482299618
webisTSame1,18,0.0
webisTSame1,19,0.27337359843450415
webisTSame1,20,0.023888134570955906
webisTSame1,22,4.525008785117106e-06
webisTSame1,27,1.127079299165628e-06
webisTSame1,28,0.11574868231384099
webisTSame1,29,0.21396084475396848
webisTSame1,32,0.0322507604801461
webisTSame1,33,0.025452840990477232
webisTSame1,34,0.1815454730974345
webisTSame1,36,0.31327666697701145
webisTSame1,37,0.1508091870910952
webisTSame1,38,0.004947013180250148
webisTSame1,39,0.1742571918067662
webisTSame1,40,0.011359930498071033
webisTSame1,41,0.3162603539161624
webisTSame1,42,0.080433815897185
webisTSame1,44,0.06328816578456482
webisTSame1,45,0.008809882286848158
webisTSame1,47,0.0003439225941070777
webisTSame1,49,0.013302598019494488
webisTSame1,50,0.4563381674906308
webisTSame1,51,0.08782993156893164
webisTSame1,average,0.10194634215021756
