runid,topic,compatibility
WatSMC-CAL,101,0.43670930722459994
WatSMC-CAL,102,0.7396810605701198
WatSMC-CAL,103,0.20607111983789886
WatSMC-CAL,104,0.577864831233595
WatSMC-CAL,105,0.859260182737558
WatSMC-CAL,106,0.024124720938747537
WatSMC-CAL,107,0.08031011126980325
WatSMC-CAL,108,0.07896787318285059
WatSMC-CAL,109,0.14116211561744035
WatSMC-CAL,110,0.5906792974163132
WatSMC-CAL,111,0.6587233763335822
WatSMC-CAL,112,0.06591954542395441
WatSMC-CAL,114,0.09326892469775111
WatSMC-CAL,140,0.025860767338432736
WatSMC-CAL,average,0.32704308813018906
