runid,topic,compatibility
WatSMC-Correct,101,0.0
WatSMC-Correct,102,7.946929126387541e-16
WatSMC-Correct,103,0.020294841279588544
WatSMC-Correct,104,0.12236924436433483
WatSMC-Correct,105,6.75703347238017e-06
WatSMC-Correct,106,0.13074378759526498
WatSMC-Correct,107,0.05292186447002369
WatSMC-Correct,108,2.4492192997139904e-09
WatSMC-Correct,109,0.04018850383958375
WatSMC-Correct,110,5.058327315183365e-10
WatSMC-Correct,111,0.042805734453486156
WatSMC-Correct,112,0.16460982347435105
WatSMC-Correct,114,0.1746514517032069
WatSMC-Correct,140,0.43515470719789745
WatSMC-Correct,average,0.08455333702616162
