runid,topic,compatibility
WatSMC-Correct,101,0.4565233345893562
WatSMC-Correct,102,0.6440541449972649
WatSMC-Correct,103,0.23814572530410238
WatSMC-Correct,104,0.5358142388098521
WatSMC-Correct,105,0.46627560306324745
WatSMC-Correct,106,0.07306911954190373
WatSMC-Correct,107,0.010572869049264024
WatSMC-Correct,108,0.07504695947613575
WatSMC-Correct,109,0.021903978964966094
WatSMC-Correct,110,0.6277170163444328
WatSMC-Correct,111,0.4467316184339525
WatSMC-Correct,112,0.45976105657689786
WatSMC-Correct,114,0.3261921300555058
WatSMC-Correct,140,0.03978495288613644
WatSMC-Correct,average,0.3158280534352156
