runid,topic,compatibility
WatSMM-CALHC,101,0.6545776540263459
WatSMM-CALHC,102,0.4605614704680441
WatSMM-CALHC,103,0.4167312153250911
WatSMM-CALHC,104,0.5030119222996096
WatSMM-CALHC,105,0.914029439601656
WatSMM-CALHC,106,0.12246092774929661
WatSMM-CALHC,107,0.18620351100989735
WatSMM-CALHC,108,0.2696307460355285
WatSMM-CALHC,109,0.34252867674036097
WatSMM-CALHC,110,0.8512723207398317
WatSMM-CALHC,111,0.7025032477178639
WatSMM-CALHC,112,0.143677890296694
WatSMM-CALHC,114,0.2351366555234121
WatSMM-CALHC,140,0.02817131898233411
WatSMM-CALHC,average,0.41646407117971185
