runid,topic,compatibility
WatSMM-CALQAAll,101,0.5589590199759179
WatSMM-CALQAAll,102,0.6269403301412753
WatSMM-CALQAAll,103,0.3309685607194393
WatSMM-CALQAAll,104,0.6416400390536318
WatSMM-CALQAAll,105,0.9132505311793659
WatSMM-CALQAAll,106,0.22633313808890063
WatSMM-CALQAAll,107,0.15676527416432007
WatSMM-CALQAAll,108,0.570375836161459
WatSMM-CALQAAll,109,0.29992327780908634
WatSMM-CALQAAll,110,0.7258502445402601
WatSMM-CALQAAll,111,0.46034083612341364
WatSMM-CALQAAll,112,0.11611781439149288
WatSMM-CALQAAll,114,0.24044490038398583
WatSMM-CALQAAll,140,0.14851730461966944
WatSMM-CALQAAll,average,0.42974479338230137
