runid,topic,compatibility
WatSAE-BM25,101,0.12203513625525068
WatSAE-BM25,102,0.38899552361317014
WatSAE-BM25,103,0.18612642645879665
WatSAE-BM25,104,0.35804549407508496
WatSAE-BM25,105,0.297246614256745
WatSAE-BM25,106,0.0013035035297499656
WatSAE-BM25,107,0.11014711958707403
WatSAE-BM25,108,0.0
WatSAE-BM25,109,0.1504934417980459
WatSAE-BM25,110,0.9405425044722843
WatSAE-BM25,111,0.08731815281318227
WatSAE-BM25,112,0.1583294827764986
WatSAE-BM25,114,0.3148125929179547
WatSAE-BM25,140,0.0
WatSAE-BM25,average,0.2225282851824169
