runid,topic,compatibility
WatSAM-BM25,101,0.12520772107152275
WatSAM-BM25,102,0.1029833791874868
WatSAM-BM25,103,0.27713105541948413
WatSAM-BM25,104,0.1564301554497186
WatSAM-BM25,105,0.09511469662694387
WatSAM-BM25,106,0.15463129133486048
WatSAM-BM25,107,0.3711496837397739
WatSAM-BM25,108,0.42153561069591167
WatSAM-BM25,109,0.3244446986224858
WatSAM-BM25,110,0.0010230628405713212
WatSAM-BM25,111,0.16647771250693302
WatSAM-BM25,112,0.3972968253447353
WatSAM-BM25,114,0.21076670768572134
WatSAM-BM25,140,0.5858939846831188
WatSAM-BM25,average,0.24214904180066193
