runid,topic,compatibility
WatSMC-CAL,101,0.06447288780807538
WatSMC-CAL,102,0.8120178925555873
WatSMC-CAL,103,0.057372302839353094
WatSMC-CAL,104,0.015161014435179697
WatSMC-CAL,105,0.8596570125882392
WatSMC-CAL,106,0.2686569895596941
WatSMC-CAL,107,0.18114289601555686
WatSMC-CAL,108,0.7501056344137662
WatSMC-CAL,109,0.027006574696020993
WatSMC-CAL,110,0.012329231626917379
WatSMC-CAL,111,0.068996398012664
WatSMC-CAL,112,0.06696071787033286
WatSMC-CAL,114,0.20667366027604103
WatSMC-CAL,140,0.796813817713731
WatSMC-CAL,average,0.2990976450293685
