runid,topic,compatibility
WatSMC-CALQA100,101,0.0669903374339816
WatSMC-CALQA100,102,0.10074009860068919
WatSMC-CALQA100,103,0.05587769511721305
WatSMC-CALQA100,104,0.18358022442352556
WatSMC-CALQA100,105,0.01887019262429201
WatSMC-CALQA100,106,0.06451019151972694
WatSMC-CALQA100,107,0.00011221730874216271
WatSMC-CALQA100,108,0.0010330303097214526
WatSMC-CALQA100,109,0.06098266592094422
WatSMC-CALQA100,110,0.6152395040976306
WatSMC-CALQA100,111,0.08094448503078137
WatSMC-CALQA100,112,0.05770531045477752
WatSMC-CALQA100,114,0.006833681956654158
WatSMC-CALQA100,140,1.6786679179363085e-17
WatSMC-CALQA100,average,0.09381568819990571
