runid,topic,compatibility
WatSMM-CALPR,101,0.10076716607176064
WatSMM-CALPR,102,0.4624645955049491
WatSMM-CALPR,103,0.20072423817471471
WatSMM-CALPR,104,0.08315449090778511
WatSMM-CALPR,105,0.9256973833360858
WatSMM-CALPR,106,0.00105773162955786
WatSMM-CALPR,107,0.4738979304112761
WatSMM-CALPR,108,0.3384419039410995
WatSMM-CALPR,109,0.27515559240143356
WatSMM-CALPR,110,0.011874804417962171
WatSMM-CALPR,111,0.07940245113076205
WatSMM-CALPR,112,0.35497964797868
WatSMM-CALPR,114,0.17865707610859505
WatSMM-CALPR,140,0.9563898825277636
WatSMM-CALPR,average,0.3173332067530304
