runid,topic,compatibility
WatSMM-CALQA100,101,0.1464336113542522
WatSMM-CALQA100,102,0.08767763570598633
WatSMM-CALQA100,103,0.03493875401026636
WatSMM-CALQA100,104,0.07451531390568106
WatSMM-CALQA100,105,0.0063480603438991375
WatSMM-CALQA100,106,0.005437459708289468
WatSMM-CALQA100,107,0.13170468610194908
WatSMM-CALQA100,108,0.0
WatSMM-CALQA100,109,0.02434037776708787
WatSMM-CALQA100,110,0.41175800436699905
WatSMM-CALQA100,111,0.035643445176744296
WatSMM-CALQA100,112,0.04464998384601876
WatSMM-CALQA100,114,0.04342340237023106
WatSMM-CALQA100,140,0.0
WatSMM-CALQA100,average,0.07477648104695749
