runid,topic,compatibility
WatSMM-CALQAAll,101,0.0754084831833384
WatSMM-CALQAAll,102,0.7350807551962507
WatSMM-CALQAAll,103,0.3623823131645855
WatSMM-CALQAAll,104,0.3029615428369343
WatSMM-CALQAAll,105,0.92018376569931
WatSMM-CALQAAll,106,0.0012321421650731564
WatSMM-CALQAAll,107,0.5228261840754648
WatSMM-CALQAAll,108,0.6542747040262393
WatSMM-CALQAAll,109,0.5483643450769718
WatSMM-CALQAAll,110,0.011768320205619057
WatSMM-CALQAAll,111,0.028566008473096167
WatSMM-CALQAAll,112,0.49934501872984755
WatSMM-CALQAAll,114,0.34542707469503237
WatSMM-CALQAAll,140,0.666988814713362
WatSMM-CALQAAll,average,0.405343533731509
