runid,topic,compatibility
watbm25,101,0.07009699408866997
watbm25,102,0.2172862256856577
watbm25,103,0.11392067780784204
watbm25,104,0.03380557841149922
watbm25,105,0.036737824341284225
watbm25,106,0.04184383381583817
watbm25,107,0.08068724782954576
watbm25,108,0.027689843033908874
watbm25,109,0.1339654091979594
watbm25,110,0.2492029737932056
watbm25,111,0.07438498411226428
watbm25,112,0.05780133327746098
watbm25,114,0.26588169365155334
watbm25,140,0.0021279125921343342
watbm25,average,0.1003880379742017
