runid,topic,compatibility
webis-bm25,101,0.05259853528634276
webis-bm25,102,0.04982197347305386
webis-bm25,103,0.15159589823621997
webis-bm25,104,0.003795361768663117
webis-bm25,105,0.0009257780219720516
webis-bm25,106,0.46617849570837855
webis-bm25,107,0.10871897360526099
webis-bm25,108,0.33830215156943555
webis-bm25,109,0.03137527605323808
webis-bm25,110,0.027618328046350036
webis-bm25,111,0.11213414024078354
webis-bm25,112,0.1595816912426268
webis-bm25,114,0.020820649502593984
webis-bm25,140,0.17445231110640758
webis-bm25,average,0.12127996884723764
