runid,topic,compatibility
webis-t5,101,0.06236225758007254
webis-t5,102,0.11365343672159701
webis-t5,103,0.11719015391537352
webis-t5,104,0.45639581943973545
webis-t5,105,0.02619064010450275
webis-t5,106,0.015701165875166727
webis-t5,107,0.027065774039518747
webis-t5,108,0.02259575674197134
webis-t5,109,0.09530902814247783
webis-t5,110,0.0781510969864605
webis-t5,111,0.13563227023569685
webis-t5,112,0.08267234180381967
webis-t5,114,0.2738809065464089
webis-t5,140,0.0017542320471485005
webis-t5,average,0.1077539200128536
