runid,topic,compatibility
WatSAM-BM25,101,0.12848567481850753
WatSAM-BM25,102,0.2841118037578108
WatSAM-BM25,103,0.11612501935335082
WatSAM-BM25,104,0.4187868452442684
WatSAM-BM25,105,0.03655389523720826
WatSAM-BM25,106,0.06826195472121696
WatSAM-BM25,107,0.16498888595861247
WatSAM-BM25,108,0.0
WatSAM-BM25,109,0.06638984277268234
WatSAM-BM25,110,0.5205496711137276
WatSAM-BM25,111,0.017419109897597297
WatSAM-BM25,112,0.03302094181251769
WatSAM-BM25,114,0.15486701312540094
WatSAM-BM25,140,0.0
WatSAM-BM25,average,0.14354004698663583
