runid,topic,compatibility
WatSMC-CALQAHC1,101,0.15424195440206173
WatSMC-CALQAHC1,102,0.6882010188246678
WatSMC-CALQAHC1,103,0.3639033557904784
WatSMC-CALQAHC1,104,0.29939012367944917
WatSMC-CALQAHC1,105,0.9109568947187855
WatSMC-CALQAHC1,106,0.28789270960436375
WatSMC-CALQAHC1,107,0.12802785435614172
WatSMC-CALQAHC1,108,0.10141971926461635
WatSMC-CALQAHC1,109,0.34792325310185507
WatSMC-CALQAHC1,110,0.134872360383803
WatSMC-CALQAHC1,111,0.0404796871414994
WatSMC-CALQAHC1,112,0.218104460386839
WatSMC-CALQAHC1,114,0.3185489574281743
WatSMC-CALQAHC1,140,0.5181330405998374
WatSMC-CALQAHC1,average,0.3222925278344695
