runid,topic,compatibility
WatSMC-Correct,101,0.21565765285597316
WatSMC-Correct,102,0.42134187778998833
WatSMC-Correct,103,0.14719010909339914
WatSMC-Correct,104,0.1826135336048621
WatSMC-Correct,105,0.46813566871625245
WatSMC-Correct,106,0.4288741887954734
WatSMC-Correct,107,0.034975929749177084
WatSMC-Correct,108,0.146539842091126
WatSMC-Correct,109,0.2114551763212347
WatSMC-Correct,110,0.08996867533502254
WatSMC-Correct,111,0.049089829662490855
WatSMC-Correct,112,0.1591134408217335
WatSMC-Correct,114,0.34808810192700423
WatSMC-Correct,140,0.07703027791066087
WatSMC-Correct,average,0.2128624503338856
