runid,topic,compatibility
WatSMM-CALHC,101,0.2491554827953486
WatSMM-CALHC,102,0.1347146829638647
WatSMM-CALHC,103,0.11486874984130584
WatSMM-CALHC,104,0.3503126332598462
WatSMM-CALHC,105,0.0007000898458730798
WatSMM-CALHC,106,5.088379641478198e-17
WatSMM-CALHC,107,0.09626436080483142
WatSMM-CALHC,108,0.0
WatSMM-CALHC,109,0.07111305632556643
WatSMM-CALHC,110,0.3065494382351888
WatSMM-CALHC,111,0.04131599161397293
WatSMM-CALHC,112,0.030478431934810354
WatSMM-CALHC,114,0.03236045166940445
WatSMM-CALHC,140,0.0
WatSMM-CALHC,average,0.10198809780642949
