runid,topic,compatibility
WatSMM-CALQAAll,101,0.09671770098186694
WatSMM-CALQAAll,102,0.006143916787786058
WatSMM-CALQAAll,103,0.011741661666474666
WatSMM-CALQAAll,104,6.953825089233478e-06
WatSMM-CALQAAll,105,7.425274476905686e-06
WatSMM-CALQAAll,106,0.0
WatSMM-CALQAAll,107,0.13292084678291416
WatSMM-CALQAAll,108,0.0
WatSMM-CALQAAll,109,1.8322845431196524e-07
WatSMM-CALQAAll,110,0.04709967220032559
WatSMM-CALQAAll,111,0.020976082040943474
WatSMM-CALQAAll,112,0.055054558104116996
WatSMM-CALQAAll,114,0.00927945866917752
WatSMM-CALQAAll,140,0.0
WatSMM-CALQAAll,average,0.027139175682973277
