runid,topic,compatibility
webis-t5,101,0.0057263481630949985
webis-t5,102,0.10839702895829686
webis-t5,103,0.09902116011559416
webis-t5,104,5.356631407695542e-05
webis-t5,105,0.06301316882572579
webis-t5,106,0.14801137618970694
webis-t5,107,0.03358847164006022
webis-t5,108,0.36568862576556505
webis-t5,109,0.12261829182375755
webis-t5,110,0.08085425536668492
webis-t5,111,0.13151823321971354
webis-t5,112,0.03771442358882057
webis-t5,114,0.04417202883395182
webis-t5,140,0.05323437217121534
webis-t5,average,0.09240081078401889
